Date, Open, High, Low, Close
5/28/2009,5823.86,5930.45,5794.39,5917.06
5/29/2009,5917.02,6007.96,5917.02,6004.07
6/1/2009,6004.07,6207.12,6004.07,6169.07
6/2/2009,6169.08,6202.22,6135.33,6182.87
6/3/2009,6182.58,6182.58,5983.06,6033.9
6/4/2009,6033.68,6113.76,6021.37,6110.76
6/5/2009,6110.76,6164.89,6047.4,6082.64
6/8/2009,6082.56,6109.02,5983.46,6068.56
6/9/2009,6068.67,6131.02,6056.13,6101.57
6/10/2009,6101.58,6167.53,6025.88,6098.06
6/11/2009,6098.06,6231.03,6098.06,6163.13
6/12/2009,6162.33,6162.33,6086.31,6148.61
6/15/2009,6148.61,6148.61,5935.82,5967.26
6/16/2009,5967.27,6005.67,5879.94,5886.76
6/17/2009,5886.74,5914.24,5808.68,5864.55
6/18/2009,5864.59,5935.3,5836.42,5906.2
6/19/2009,5906.2,5971.95,5903.64,5934.24
6/22/2009,5933.91,5933.91,5724.81,5725.07
6/23/2009,5725.07,5782,5706.25,5759.49
6/24/2009,5759.5,5872.6,5759.5,5795.72
6/25/2009,5795.72,5911.3,5751.97,5911.03
6/26/2009,5910.89,5928.28,5865.76,5906.96
6/29/2009,5906.96,5968.32,5892.19,5962.5
6/30/2009,5962.51,5975.79,5862.84,5905.15
7/1/2009,5905.16,6009.53,5905.16,5954.01
7/2/2009,5954,5954,5775.22,5775.24
7/6/2009,5775.23,5775.23,5686.24,5770
7/7/2009,5770,5770,5648.67,5654.64
7/8/2009,5654.64,5684.22,5552.82,5624.57
7/9/2009,5624.57,5702.73,5624.57,5667.37
7/10/2009,5667.37,5667.37,5583.84,5627.52
7/13/2009,5627.52,5761.38,5598.81,5761.37
7/14/2009,5761.36,5805.59,5743.05,5805.58
7/15/2009,5805.58,6003.66,5805.58,5993.16
7/16/2009,5993.16,6065.91,5960.29,6043.05
7/17/2009,6043.05,6054.23,6000.14,6038.11
7/20/2009,6038.11,6144.29,6038.11,6141.3
7/21/2009,6141.3,6184.51,6082.39,6154.39
7/22/2009,6154.37,6192.11,6107.58,6151.4
7/23/2009,6151.41,6322.72,6151.41,6302.52
7/24/2009,6302.51,6339.41,6254.59,6337.46
7/27/2009,6320.24,6365.46,6317.45,6364.66
7/28/2009,6364.65,6364.65,6259.59,6328.67
7/29/2009,6328.68,6328.68,6241.58,6280.57
7/30/2009,6280.57,6434.39,6280.57,6384.31
7/31/2009,6384.31,6455.05,6365.22,6424.28
8/3/2009,6424.28,6575.48,6424.28,6565.65
8/4/2009,6565.65,6587.48,6507.94,6569.14
8/5/2009,6569.14,6579.13,6487.07,6558.19
8/6/2009,6558.19,6601.42,6482.75,6517.67
8/7/2009,6517.67,6634.18,6517.67,6586.71
8/10/2009,6586.71,6586.71,6509.13,6550.05
8/11/2009,6550.02,6550.02,6448.92,6463.62
8/12/2009,6463.58,6581.25,6456.87,6538.87
8/13/2009,6538.87,6606.1,6528.73,6604.1
8/14/2009,6604.1,6604.21,6483.61,6537.82
8/17/2009,6537.82,6537.82,6338.09,6352.11
8/18/2009,6352.11,6447.26,6352.11,6437.07
8/19/2009,6437.07,6501.78,6369.2,6479.28
8/20/2009,6479.28,6563,6479.28,6553.4
8/21/2009,6553.4,6688.07,6553.4,6676.26
8/24/2009,6676.26,6743.86,6652.71,6671.14
8/25/2009,6671.23,6764.7,6671.23,6697.22
8/26/2009,6697.22,6710.52,6640.29,6687.94
8/27/2009,6687.95,6737.6,6610.4,6722.31
8/28/2009,6722.31,6775.74,6673.37,6709.04
8/31/2009,6709.01,6709.01,6604.08,6643.24
9/1/2009,6643.24,6689.16,6474.26,6487.81
9/2/2009,6487.8,6507.82,6448.03,6474.79
9/3/2009,6474.8,6546.6,6470.57,6546.6
9/4/2009,6546.6,6637.72,6531.1,6637.13
9/8/2009,6637.15,6737.74,6637.13,6726.07
9/9/2009,6726.08,6793.94,6720.29,6772.4
9/10/2009,6772.39,6850.81,6735.65,6850.81
9/11/2009,6850.81,6890.72,6815.69,6843.82
9/14/2009,6843.82,6882.85,6779.9,6879.99
9/15/2009,6879.99,6934.98,6839.76,6917.07
9/16/2009,6917.07,7038.14,6917.07,7038.14
9/17/2009,7038.13,7073.02,6972.89,7002.17
9/18/2009,7002.17,7041.04,6991.38,7016.92
9/21/2009,7016.92,7016.92,6916.18,6968.59
9/22/2009,6968.59,7057.25,6968.59,7047.13
9/23/2009,7046.91,7092.7,6963.11,6964.69
9/24/2009,6964.69,6997.24,6827.98,6862.31
9/25/2009,6862.29,6882.08,6798.28,6823.51
9/28/2009,6823.52,6952.98,6823.52,6939.76
9/29/2009,6939.77,6970.71,6904.33,6926.82
9/30/2009,6926.82,6956.89,6841.64,6910.88
10/1/2009,6910.87,6910.87,6715.76,6718.05
10/2/2009,6718.04,6718.04,6633.98,6674.57
10/5/2009,6674.59,6808.14,6674.59,6795.13
10/6/2009,6795.13,6938.73,6795.13,6899.68
10/7/2009,6899.68,6918.13,6865.52,6912.65
10/8/2009,6912.79,7020.01,6912.79,6990.67
10/9/2009,6990.54,7015.54,6968.58,7015.54
10/12/2009,7015.56,7083.61,7015.56,7051.16
10/13/2009,7051.16,7051.16,6981.65,7031.87
10/14/2009,7031.89,7187.9,7031.89,7182.38
10/15/2009,7182.37,7204.09,7142,7204.05
10/16/2009,7204.05,7204.05,7091.81,7133.96
10/19/2009,7133.96,7241.39,7133.96,7222.21
10/20/2009,7222.21,7222.58,7123.13,7158.27
10/21/2009,7157.9,7233.62,7104.56,7107.21
10/22/2009,7107.21,7196.08,7051.21,7182.91
10/23/2009,7182.94,7182.95,7038.87,7066.8
10/26/2009,7066.8,7147.95,6947.68,6960.09
10/27/2009,6960.09,6999.73,6919.87,6932.04
10/28/2009,6932.04,6932.04,6760.52,6765.69
10/29/2009,6765.7,6963.72,6765.7,6955.31
10/30/2009,6955.3,6955.3,6714.81,6739.45
11/2/2009,6739.47,6857.9,6692.85,6784.94
11/3/2009,6784.79,6817.48,6704.66,6812.7
11/4/2009,6812.7,6924.22,6812.7,6830.43
11/5/2009,6830.44,6950.16,6830.44,6950.14
11/6/2009,6950.14,6978.24,6894.19,6958.29
11/9/2009,6958.29,7135.45,6958.29,7135.33
11/10/2009,7135.32,7146.78,7080.57,7126.42
11/11/2009,7126.43,7211.83,7126.43,7155.36
11/12/2009,7155.36,7170.01,7047.34,7063.05
11/13/2009,7063.05,7148.48,7054.45,7119.89
11/16/2009,7119.9,7266.51,7119.9,7237.1
11/17/2009,7237.1,7237.1,7171.26,7234.06
11/18/2009,7234.06,7249.77,7189.06,7226.71
11/19/2009,7226.68,7226.68,7066.9,7117.64
11/20/2009,7117.63,7117.63,7048.5,7084.47
11/23/2009,7084.47,7242.46,7084.47,7186.33
11/24/2009,7186.33,7186.33,7121.05,7170.26
11/25/2009,7170.27,7234.73,7170.27,7232.12
11/27/2009,7232.12,7232.12,7009.43,7070.09
11/30/2009,7070.09,7109.69,7030.72,7092.36
12/1/2009,7092.36,7234.37,7092.36,7212.08
12/2/2009,7212.08,7264.82,7197.06,7222.42
12/3/2009,7222.67,7278.39,7150.5,7157.05
12/4/2009,7157.08,7285.67,7124.9,7182.71
12/7/2009,7182.66,7210.03,7144.73,7155.73
12/8/2009,7155.72,7155.72,7037.64,7056.26
12/9/2009,7056.48,7074.65,7002.47,7067.62
12/10/2009,7067.62,7129.6,7067.62,7104.5
12/11/2009,7104.51,7139.2,7092.7,7125.12
12/14/2009,7125.35,7190.48,7125.35,7186.49
12/15/2009,7186.46,7186.46,7125.49,7141.44
12/16/2009,7141.44,7221.71,7141.44,7180.77
12/17/2009,7180.75,7180.75,7056.76,7063.75
12/18/2009,7063.89,7106.8,7029.17,7086.19
12/21/2009,7086.1,7171.64,7086.1,7147.15
12/22/2009,7147.18,7192.36,7147.18,7184.18
12/23/2009,7184.18,7226.73,7184.18,7217.2
12/24/2009,7217.05,7256.87,7217.05,7255
12/28/2009,7255,7282.99,7240.16,7261.24
12/29/2009,7261.3,7288.23,7250.51,7252.19
12/30/2009,7252.17,7252.17,7209.43,7241.24
12/31/2009,7241.25,7258.75,7183.84,7184.96
1/4/2010,7184.98,7331.12,7184.98,7326.74
1/5/2010,7326.74,7359.46,7313.6,7354.87
1/6/2010,7354.85,7389.28,7342.49,7377.7
1/7/2010,7377.7,7398.21,7325.51,7393.93
1/8/2010,7393.93,7426.41,7367.81,7425.35
1/11/2010,7425.61,7471.31,7419.57,7449.05
1/12/2010,7449.05,7449.05,7340.94,7370.45
1/13/2010,7370.47,7441.18,7349.42,7430.14
1/14/2010,7430.14,7458.16,7417.95,7448.52
1/15/2010,7448.51,7448.51,7326.54,7356.79
1/19/2010,7356.79,7443.68,7352.46,7443.68
1/20/2010,7443.67,7443.67,7269.93,7329.83
1/21/2010,7329.84,7345.94,7166.62,7174.46
1/22/2010,7174.46,7174.46,7021.03,7030.61
1/25/2010,7030.61,7118.22,7030.61,7073.13
1/26/2010,7073.14,7098.77,7008.98,7028.32
1/27/2010,7028.42,7044.52,6944.08,7035.61
1/28/2010,7035.62,7061.61,6913.3,6956.99
1/29/2010,6956.99,7029.29,6869.21,6883.78
